2024-06-23 23:06:101 INFO  LoginPage :56 - Enter User Name: Admin
2024-06-23 23:06:426 INFO  LoginPage :66 - Enter Password: admin123
2024-06-23 23:06:527 INFO  LoginPage :61 - Clicking on Login Button: [[ChromeDriver: chrome on windows (a1cd9dccc9e11beb1ab7b7aee29ae99a)] -> xpath: //button[@type='submit']]
2024-06-23 23:06:627 INFO  DashboardPage :37 - Verifying Dashboard Page: [[ChromeDriver: chrome on windows (a1cd9dccc9e11beb1ab7b7aee29ae99a)] -> xpath: //div[@class='oxd-topbar-header']/div[1]/span[1]/h6[1]]
2024-06-23 23:06:795 INFO  LoginPage :56 - Enter User Name: Admin
2024-06-23 23:06:687 INFO  LoginPage :56 - Enter User Name: Admin
2024-06-23 23:06:04 INFO  LoginPage :66 - Enter Password: admin123
2024-06-23 23:06:109 INFO  LoginPage :61 - Clicking on Login Button: [[ChromeDriver: chrome on windows (cd880b0d3760cac5ebcd6319b099e9b2)] -> xpath: //button[@type='submit']]
2024-06-25 17:06:537 INFO  LoginPage :41 - Enter User Name: Admin
2024-06-25 17:06:897 INFO  LoginPage :51 - Enter Password: admin123
2024-06-25 17:06:14 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (05e62602057aa501f58eea6bf4aeca46)] -> xpath: //button[@type='submit']]
2024-06-25 17:06:342 INFO  DashboardPage :36 - Verifying Dashboard Page: [[ChromeDriver: chrome on windows (05e62602057aa501f58eea6bf4aeca46)] -> xpath: //div[@class='oxd-topbar-header']/div[1]/span[1]/h6[1]]
2024-06-25 17:06:432 INFO  LoginPage :41 - Enter User Name: Admin
2024-06-25 17:06:794 INFO  LoginPage :51 - Enter Password: admin123
2024-06-25 17:06:917 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (1d4ba93a2b6c2891203fb738b9bf1886)] -> xpath: //button[@type='submit']]
2024-06-25 17:06:269 INFO  DashboardPage :41 - Verifying Orange HRM Logo: [[ChromeDriver: chrome on windows (1d4ba93a2b6c2891203fb738b9bf1886)] -> xpath: //img[@alt='client brand banner']]
2024-06-25 17:06:631 INFO  LoginPage :41 - Enter User Name: Admin
2024-06-25 17:06:946 INFO  LoginPage :51 - Enter Password: admin123
2024-06-25 17:06:82 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (4452edb80d73d05c536d5a2cfc260d6a)] -> xpath: //button[@type='submit']]
2024-06-25 17:06:988 INFO  DashboardPage :27 - Clicking on user profile logo : [[ChromeDriver: chrome on windows (4452edb80d73d05c536d5a2cfc260d6a)] -> xpath: //img[@class='oxd-userdropdown-img']]
2024-06-25 17:06:151 INFO  DashboardPage :32 - Clicking on logout link : [[ChromeDriver: chrome on windows (4452edb80d73d05c536d5a2cfc260d6a)] -> xpath: //a[normalize-space()='Logout']]
2024-06-25 17:06:383 INFO  LoginPage :41 - Enter User Name: 
2024-06-25 17:06:709 INFO  LoginPage :51 - Enter Password: 
2024-06-25 17:06:906 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (116cd5ee6a56f2a4bd464ec37bc0ec0a)] -> xpath: //button[@type='submit']]
2024-06-25 17:06:979 INFO  LoginPage :57 - Getting username field blank error message : [[ChromeDriver: chrome on windows (116cd5ee6a56f2a4bd464ec37bc0ec0a)] -> xpath: //div[@class='orangehrm-login-slot-wrapper']//div[1]//div[1]//span[1]]
2024-06-25 17:06:740 INFO  LoginPage :41 - Enter User Name: test123@gmail.com
2024-06-25 17:06:164 INFO  LoginPage :51 - Enter Password: 
2024-06-25 17:06:265 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (5a269e06d2b107677a8214a9acade59f)] -> xpath: //button[@type='submit']]
2024-06-25 17:06:364 INFO  LoginPage :62 - Getting password field blank error message : [[ChromeDriver: chrome on windows (5a269e06d2b107677a8214a9acade59f)] -> xpath: //span[@class='oxd-text oxd-text--span oxd-input-field-error-message oxd-input-group__message']]
2024-06-25 17:06:318 INFO  LoginPage :41 - Enter User Name: 
2024-06-25 17:06:626 INFO  LoginPage :51 - Enter Password: test123
2024-06-25 17:06:745 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (0286d391150f493ca2635b681479b538)] -> xpath: //button[@type='submit']]
2024-06-25 17:06:830 INFO  LoginPage :57 - Getting username field blank error message : [[ChromeDriver: chrome on windows (0286d391150f493ca2635b681479b538)] -> xpath: //div[@class='orangehrm-login-slot-wrapper']//div[1]//div[1]//span[1]]
2024-06-25 17:06:393 INFO  LoginPage :41 - Enter User Name: test123@gmail.com
2024-06-25 17:06:776 INFO  LoginPage :51 - Enter Password: test123
2024-06-25 17:06:896 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (f0e19858048b78bea3b1def88ca45ca1)] -> xpath: //button[@type='submit']]
2024-06-25 17:06:171 INFO  LoginPage :67 - Getting invalid credential error message : [[ChromeDriver: chrome on windows (f0e19858048b78bea3b1def88ca45ca1)] -> xpath: //p[@class='oxd-text oxd-text--p oxd-alert-content-text']]
2024-06-25 17:06:776 INFO  LoginPage :41 - Enter User Name: Admin
2024-06-25 17:06:113 INFO  LoginPage :51 - Enter Password: admin123
2024-06-25 17:06:231 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (c26269c5712f9964f71c3147b778e63a)] -> xpath: //button[@type='submit']]
2024-06-25 17:06:861 INFO  HomePage :37 - Clicking on Admin link : [[ChromeDriver: chrome on windows (c26269c5712f9964f71c3147b778e63a)] -> xpath: //li[1]//a[1]//span[1]]
2024-06-25 17:06:155 INFO  ViewSystemUsersPage :112 - Verifying System User Text: [[ChromeDriver: chrome on windows (c26269c5712f9964f71c3147b778e63a)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2024-06-25 17:06:201 INFO  ViewSystemUsersPage :117 - Clicking on Add button: [[ChromeDriver: chrome on windows (c26269c5712f9964f71c3147b778e63a)] -> xpath: //button[@class='oxd-button oxd-button--medium oxd-button--secondary']]
2024-06-25 17:06:04 INFO  ViewSystemUsersPage :122 - Verifying User added text: Add User
2024-06-25 17:06:33 INFO  AddUserPage :23 - Clicking on UserRole drop-down : [[ChromeDriver: chrome on windows (c26269c5712f9964f71c3147b778e63a)] -> xpath: (//div[@class = 'oxd-select-wrapper'])[1]]
2024-06-25 17:06:175 INFO  AddUserPage :28 - Clicking on Admin option in UserRole drop-down : [[ChromeDriver: chrome on windows (c26269c5712f9964f71c3147b778e63a)] -> xpath: //span[contains(text(),'Admin')]]
2024-06-25 17:06:251 INFO  ViewSystemUsersPage :128 - Entering Employee name: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-autocomplete-wrapper']//*[contains(text(),'Ranga  Akunuri')]'
2024-06-25 17:06:694 INFO  LoginPage :41 - Enter User Name: Admin
2024-06-25 17:06:138 INFO  LoginPage :51 - Enter Password: admin123
2024-06-25 17:06:255 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (876c1cb51d15111ffb2bb6e3771b0274)] -> xpath: //button[@type='submit']]
2024-06-25 17:06:997 INFO  HomePage :37 - Clicking on Admin link : [[ChromeDriver: chrome on windows (876c1cb51d15111ffb2bb6e3771b0274)] -> xpath: //li[1]//a[1]//span[1]]
2024-06-25 17:06:340 INFO  ViewSystemUsersPage :112 - Verifying System User Text: [[ChromeDriver: chrome on windows (876c1cb51d15111ffb2bb6e3771b0274)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2024-06-25 17:06:452 INFO  ViewSystemUsersPage :171 - Enter nishit86 to User Name field : [[ChromeDriver: chrome on windows (876c1cb51d15111ffb2bb6e3771b0274)] -> xpath: //div[@class='oxd-input-group oxd-input-field-bottom-space']//div//input[@class='oxd-input oxd-input--active']]
2024-06-25 17:06:469 INFO  ViewSystemUsersPage :175 - Clicking on UserRole drop-down : [[ChromeDriver: chrome on windows (876c1cb51d15111ffb2bb6e3771b0274)] -> xpath: //div[@class='oxd-table-filter-area']//div[2]//div[1]//div[2]//div[1]//div[1]//div[1]]
2024-06-25 17:06:525 INFO  ViewSystemUsersPage :180 - Clicking on Admin option in UserRole drop-down : [[ChromeDriver: chrome on windows (876c1cb51d15111ffb2bb6e3771b0274)] -> xpath: //span[contains(text(),'Admin')]]
2024-06-25 17:06:820 INFO  ViewSystemUsersPage :191 - Clicking on Status drop-down : [[ChromeDriver: chrome on windows (876c1cb51d15111ffb2bb6e3771b0274)] -> xpath: (//i)[13]]
2024-06-25 17:06:961 INFO  ViewSystemUsersPage :196 - Clicking on Disable option in Status drop-down : [[ChromeDriver: chrome on windows (876c1cb51d15111ffb2bb6e3771b0274)] -> xpath: //span[normalize-space()='Disabled']]
2024-06-25 17:06:15 INFO  ViewSystemUsersPage :206 - Clicking on Search button : [[ChromeDriver: chrome on windows (876c1cb51d15111ffb2bb6e3771b0274)] -> xpath: //button[normalize-space()='Search']]
2024-06-25 17:06:67 INFO  ViewSystemUsersPage :215 - Getting UserName from record : Proxy element for: DefaultElementLocator 'By.xpath: (//div[@data-v-6c07a142])[1]'
2024-06-25 17:06:620 INFO  LoginPage :41 - Enter User Name: Admin
2024-06-25 17:06:36 INFO  LoginPage :51 - Enter Password: admin123
2024-06-25 17:06:159 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (692b18b73ccfb150f0d921710c2debe7)] -> xpath: //button[@type='submit']]
2024-06-25 17:06:140 INFO  HomePage :37 - Clicking on Admin link : [[ChromeDriver: chrome on windows (692b18b73ccfb150f0d921710c2debe7)] -> xpath: //li[1]//a[1]//span[1]]
2024-06-25 17:06:458 INFO  ViewSystemUsersPage :112 - Verifying System User Text: [[ChromeDriver: chrome on windows (692b18b73ccfb150f0d921710c2debe7)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2024-06-25 17:06:572 INFO  ViewSystemUsersPage :171 - Enter nishit86 to User Name field : [[ChromeDriver: chrome on windows (692b18b73ccfb150f0d921710c2debe7)] -> xpath: //div[@class='oxd-input-group oxd-input-field-bottom-space']//div//input[@class='oxd-input oxd-input--active']]
2024-06-25 17:06:588 INFO  ViewSystemUsersPage :175 - Clicking on UserRole drop-down : [[ChromeDriver: chrome on windows (692b18b73ccfb150f0d921710c2debe7)] -> xpath: //div[@class='oxd-table-filter-area']//div[2]//div[1]//div[2]//div[1]//div[1]//div[1]]
2024-06-25 17:06:639 INFO  ViewSystemUsersPage :180 - Clicking on Admin option in UserRole drop-down : [[ChromeDriver: chrome on windows (692b18b73ccfb150f0d921710c2debe7)] -> xpath: //span[contains(text(),'Admin')]]
2024-06-25 17:06:846 INFO  ViewSystemUsersPage :191 - Clicking on Status drop-down : [[ChromeDriver: chrome on windows (692b18b73ccfb150f0d921710c2debe7)] -> xpath: (//i)[13]]
2024-06-25 17:06:990 INFO  ViewSystemUsersPage :196 - Clicking on Disable option in Status drop-down : [[ChromeDriver: chrome on windows (692b18b73ccfb150f0d921710c2debe7)] -> xpath: //span[normalize-space()='Disabled']]
2024-06-25 17:06:77 INFO  ViewSystemUsersPage :206 - Clicking on Search button : [[ChromeDriver: chrome on windows (692b18b73ccfb150f0d921710c2debe7)] -> xpath: //button[normalize-space()='Search']]
2024-06-25 17:06:148 INFO  ViewSystemUsersPage :215 - Getting UserName from record : Proxy element for: DefaultElementLocator 'By.xpath: (//div[@data-v-6c07a142])[1]'
